strong,diminish,tag,sentence,source
6.03,93.97,diminishing,"Guys, Please disregard the earlier message, which was sent prior to its completion.",Enron email
12.92,87.08,diminishing,This is the complete message.,Enron email
1.34,98.66,diminishing,"Gentlemen, Attached is the latest version to ENA's form of ""Schedule to ISDA Master Agreement"".",Enron email
43.13,56.87,diminishing,"This document has been upgraded to include our new ""set-off"" provision.",Enron email
0.1,99.9,diminishing,"For your convenience, I have attached a redlined version, so you can track the set-off language changes made therein.",Enron email
1.11,98.89,diminishing,"All, The Legal\Credit Meeting scheduled for Tuesday, November 20th--HAS BEEN CANCELED The next meeting will be held on Tuesday, December 4th.",Enron email
0.01,99.99,diminishing,"Dan, I agree as to your decision to complete the reimbursment for cell phones for year 2001.",Enron email
0,100,diminishing,"However, I will NOT use the Four Star card for gasoline purchases any longer, since Mr. D was opposed to this practice.",Enron email
47.29,52.71,diminishing,Hey -- have a HAPPY THANKSGIVING.,Enron email
99.94,0.06,strong,Love you.,Enron email
1.43,98.57,diminishing,"Stephanie, Please add Vladimir Gorny to your list of recipients of the ""Termination Log"".",Enron email
6.18,93.82,diminishing,Vladimir works with Jim Fallon & will be working with Ernst/Young to determine the valuations of the terminated relationships.,Enron email
0.01,99.99,diminishing,"Kelly, I have not provided you with an updated list, so I hope you used my one from last year--it should suffice.",Enron email
0.03,99.97,diminishing,"Also, please be advised, according to my duties as the Junior League's Outside Board Rep, I am not permitted to assist with any fund raising activities.",Enron email
11.3,88.7,diminishing,"Therefore, I will attend the Board meeting, but will not stay to write notes.",Enron email
0,100,diminishing,"Sara, Please let me know if the ISDA Master Agreement between RMT and Enron Japan Corp. is ready for execution.",Enron email
0.13,99.87,diminishing,The file is with you for your for initials.,Enron email
0,100,diminishing,You may not have initialed-off on the agreement yet -- because you were going to check with Mark as to possibly adding in the online language.,Enron email
0,100,diminishing,Let me know if I may be of assistance.,Enron email
